Parc Ahuntsic	 10555, rue Lajeunesse
Parc des Hirondelles	 2574, rue Fleury Est
Parc Groverhill	 32e avenue and rue Provost
Parc Lefebvre	 8600, rue Hardy
Parc Raymond	 555, boulevard Bishop-Power
Parc Ignace-Bourget	 3333, avenue Newman
Parc Le Ber	 470, rue Fortune
Parc Cabrini	 rue Cabrini au nord du boulevard Rosemont
Parc de la Bruère	 2150, rue Liébert
Parc Liébert	 850, avenue Pierre-De Coubertin 
Parc Morgan	 4370, rue Sainte-Catherine Est 
Parc Pilon	 11135, avenue des Récollets 
Parc Beaubien	 chemin de la Côte-Sainte-Catherine and avenue McEachran
Parc Alexander	 14899, rue Oakwood
Parc Grier	 17760, rue Meloche
Parc Saint-Jean-Baptiste	 1050, boulevard Saint-Jean-Baptiste, PAT
Parc Joseph-Paré	 6525, rue Beaubien and 41e Avenue 
Parc du Pélican	 2590, rue Masson and 1re Avenue 
Parc Hartenstein	 1505, rue Cardinal
Parc Coubertin	 4755, rue Valéry
Parc Delorme	 6060, rue Honfleur
Parc Garibaldi	 7125, rue Liénard
Parc du Mont-Royal	 2000, chemin Remembrance 
Parc Jean Drapeau	 île Sainte-Hélène 
Parc-nature de la Pointe-aux-prairies	 14905, rue Sherbrooke Est , 514 280-6691
Parc-nature du Bois-de-Liesse accueil des champs	3555, rue Douglas-B.-Floreani
Parc du Centenaire	 2938, chemin Lake
Parc Westminster	 531, avenue Westminster
